model_alias,model_name,prompt_id,temperature,reasoning_effort,max_tokens,k,output_mode,metric_exact_k_mean,metric_exact_k_std,metric_unique_ratio_mean,metric_unique_ratio_std,metric_required_concept_coverage_mean,metric_required_concept_coverage_std,metric_forbidden_avoidance_mean,metric_forbidden_avoidance_std,metric_reference_token_overlap_mean,metric_reference_token_overlap_std,metric_pairwise_lexical_diversity_mean,metric_pairwise_lexical_diversity_std,metric_distinct_1_mean,metric_distinct_1_std,metric_distinct_2_mean,metric_distinct_2_std,metric_englishish_score_mean,metric_englishish_score_std,metric_length_score_mean,metric_length_score_std,metric_overall_score_mean,metric_overall_score_std,metric_query_drift_risk_mean,metric_query_drift_risk_std,latency_sec_mean,latency_sec_std,num_cases
gpt_oss_120b,openai/gpt-oss-120b,keyword_control_v1,0.4,medium,2048,5,json_prompt,1.0,0.0,1.0,0.0,0.90625,0.13275918047351754,0.9625,0.08062257748298547,0.4139985040221886,0.11708412572217336,0.669928023029574,0.14034247720141807,0.49853642913504276,0.06937117821810243,0.7845231668456718,0.10027545611696288,0.996141419959229,0.00708900320603135,0.9833333333333334,0.031946457263478244,0.8616282437174582,0.036944268789596155,0.06562499999999999,0.07630803802134258,7.135383437533164,6.0797994338263415,16
gpt_oss_120b,openai/gpt-oss-120b,keyword_control_v1,0.2,medium,2048,5,json_prompt,1.0,0.0,1.0,0.0,0.878125,0.1341252524073425,0.9625,0.08062257748298547,0.37981065432302247,0.09203220741027239,0.655370428801598,0.15995632358395698,0.5008539411355997,0.0706844398570644,0.8051549698006962,0.10133224989997006,0.9969563148097358,0.0070223954915842,0.9884722222222222,0.021225324574483714,0.8519519327481156,0.03341284623096037,0.0796875,0.08377487192867958,4.860842700029025,3.7661318718523926,16
gpt_oss_120b,openai/gpt-oss-120b,strict_multimedia_v1,0.2,medium,2048,5,json_prompt,1.0,0.0,1.0,0.0,0.828125,0.18526445062846422,0.975,0.0683130051063973,0.3156392244209264,0.11796853067109712,0.6547255652489028,0.12752974828781555,0.4784848654407856,0.06541275574267942,0.7389390096171596,0.08168557438233406,0.9966794413939747,0.008808728407952247,0.9472222222222222,0.058443458659479634,0.8280966829171655,0.03997920867279854,0.09843749999999998,0.09551123406873839,5.717981424983009,5.44691595988385,16
gpt_oss_120b,openai/gpt-oss-120b,strict_multimedia_v1,0.4,medium,2048,5,json_prompt,1.0,0.0,1.0,0.0,0.8,0.1957890020745122,0.975,0.0683130051063973,0.3259545849312294,0.10412424237960972,0.6531919762384159,0.12089534782763613,0.49148373665487327,0.05200878221816319,0.741779205728665,0.08979055043939965,0.9932020861762332,0.018190011776159486,0.9315277777777778,0.06468266952303003,0.8214934857729583,0.05031943643231651,0.11249999999999999,0.10684880283216402,5.304686875009793,4.512574288230907,16
